id,title,description,bank,provider,category,is_active,created_at,updated_at
123,La Barra,Beneficios exclusivos todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849492,2025-06-14T00:15:33.849494
124,Burano,15% dto adicional. todos los días online y presencial.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849501,2025-06-14T00:15:33.849502
125,BENETTON,20% dto. lunes a jueves en compra presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849509,2025-06-14T00:15:33.849510
126,Ultimate Clothing,25% dto. adicional los días martes y jueves.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849517,2025-06-14T00:15:33.849518
127,Copas y Cervezas,25% dto. en planes semestrales.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849525,2025-06-14T00:15:33.849526
128,ASH,20% dto. todos los días presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849533,2025-06-14T00:15:33.849534
129,L´Occitane,"20% dto. los miércoles, jueves y viernes en compra presencial",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849540,2025-06-14T00:15:33.849541
130,Bazhars Alfombras,10% dto. adicional en compra online y presencial todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849549,2025-06-14T00:15:33.849550
131,Revesderecho,20% dto. miércoles en compras online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849557,2025-06-14T00:15:33.849559
132,Nevada Novias,15% dto. todos los días presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849566,2025-06-14T00:15:33.849567
133,Clinica Everest,Paga en 7 a 24 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849574,2025-06-14T00:15:33.849575
134,Tika,30% dto. todos los días online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849582,2025-06-14T00:15:33.849583
135,Al Pesto,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849590,2025-06-14T00:15:33.849591
136,Asia Skincare,20% dto. los miércoles presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849597,2025-06-14T00:15:33.849598
137,Bellapiel,20% dto. lunes a jueves en servicios,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849605,2025-06-14T00:15:33.849607
138,Centro Odontológico Dr. Alvaro Peña Páez,Hasta 35% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849613,2025-06-14T00:15:33.849614
139,Aesthetic Place Dr. Roy Sothers,15% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849622,2025-06-14T00:15:33.849623
140,ONEDENT,sobre el arancel de ONEDENT,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849630,2025-06-14T00:15:33.849631
141,CARBEL COFFEE & PASTRY,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849638,2025-06-14T00:15:33.849639
142,Ma Griffe,20% dto. todos los días en compras online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849646,2025-06-14T00:15:33.849647
143,LA PIZZARRA,lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849654,2025-06-14T00:15:33.849655
144,Farmex,Hasta 20% dto. en compra online todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849662,2025-06-14T00:15:33.849663
145,Local Burger,20% de dto. viernes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849671,2025-06-14T00:15:33.849672
146,CLARO,Paga en 13 a 18 cuotas sin interés,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849678,2025-06-14T00:15:33.849679
147,Nuna Restaurante,15% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849686,2025-06-14T00:15:33.849687
148,PET FAMILY,Hasta 15% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849694,2025-06-14T00:15:33.849695
149,Trayecto Bookstore,20% dto. lunes y martes en compra presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849702,2025-06-14T00:15:33.849703
150,Sushiban,25% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849710,2025-06-14T00:15:33.849711
151,ISTANWOOL,10% dto. adicional en compra presencial todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849718,2025-06-14T00:15:33.849719
152,Maria La Biyux,20% dto online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849726,2025-06-14T00:15:33.849727
153,Dominga Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849733,2025-06-14T00:15:33.849734
154,Cafetería Le Grand de La Fete Dólares Premio,Consumo por $30.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849741,2025-06-14T00:15:33.849742
155,Casa Morera Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849792,2025-06-14T00:15:33.849794
156,CONEY JUMP + YUKIDS,35% dto. En los 40 minutos de juego todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849802,2025-06-14T00:15:33.849803
157,Tirua Bar Restorán,20% dto. martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849811,2025-06-14T00:15:33.849812
158,CEVICHAZO 102,"20% dto. lunes, viernes y sábado",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849819,2025-06-14T00:15:33.849820
159,Peluquería Francesa,20% dto. lunes a sábado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849827,2025-06-14T00:15:33.849828
160,SABOR Y AROMA,20% dto. lunes a sábado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849835,2025-06-14T00:15:33.849836
161,Infiltrados,"20% dto. martes, miércoles y sábados",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849851,2025-06-14T00:15:33.849853
